2024-07-26 19:07:312 INFO  HomePage :35 - get the title of the page: 
2024-07-26 19:07:707 INFO  HomePage :42 - click on cookies: [[ChromeDriver: chrome on windows (b22d22364e1caa3e2ad0d0d889dff066)] -> xpath: //label[normalize-space()='Necessary cookies only']]
2024-07-26 19:07:358 INFO  HomePage :47 - click on JoinNowTab: [[ChromeDriver: chrome on windows (b22d22364e1caa3e2ad0d0d889dff066)] -> xpath: //a[normalize-space()='Join Now']]
2024-07-26 19:07:839 INFO  HomePage :35 - get the title of the page: 
2024-07-26 19:07:249 INFO  HomePage :42 - click on cookies: [[ChromeDriver: chrome on windows (7aa1f5769ff416a56c764b387a827d76)] -> xpath: //label[normalize-space()='Necessary cookies only']]
2024-07-26 19:07:436 INFO  HomePage :62 - selectTopMenu: [[[ChromeDriver: chrome on windows (7aa1f5769ff416a56c764b387a827d76)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (7aa1f5769ff416a56c764b387a827d76)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (7aa1f5769ff416a56c764b387a827d76)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (7aa1f5769ff416a56c764b387a827d76)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (7aa1f5769ff416a56c764b387a827d76)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (7aa1f5769ff416a56c764b387a827d76)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (7aa1f5769ff416a56c764b387a827d76)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (7aa1f5769ff416a56c764b387a827d76)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (7aa1f5769ff416a56c764b387a827d76)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (7aa1f5769ff416a56c764b387a827d76)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span]]
2024-07-26 19:07:161 INFO  OnlineSlotsPage :19 - Get text of OnlineSlot: [[ChromeDriver: chrome on windows (7aa1f5769ff416a56c764b387a827d76)] -> xpath: //h1[normalize-space()='Play Online Slots at Virgin Games']]
2024-07-26 19:07:813 INFO  HomePage :35 - get the title of the page: 
2024-07-26 19:07:739 INFO  HomePage :42 - click on cookies: [[ChromeDriver: chrome on windows (33688102c2125d38e28181da57ef1c2a)] -> xpath: //label[normalize-space()='Necessary cookies only']]
2024-07-26 19:07:881 INFO  HomePage :47 - click on JoinNowTab: [[ChromeDriver: chrome on windows (33688102c2125d38e28181da57ef1c2a)] -> xpath: //a[normalize-space()='Join Now']]
2024-07-26 19:07:214 INFO  HomePage :35 - get the title of the page: 
2024-07-26 19:07:185 INFO  HomePage :42 - click on cookies: [[ChromeDriver: chrome on windows (d2ce5823cee807aed2719261dc1893b6)] -> xpath: //label[normalize-space()='Necessary cookies only']]
2024-07-26 19:07:681 INFO  HomePage :62 - selectTopMenu: [[[ChromeDriver: chrome on windows (d2ce5823cee807aed2719261dc1893b6)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (d2ce5823cee807aed2719261dc1893b6)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (d2ce5823cee807aed2719261dc1893b6)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (d2ce5823cee807aed2719261dc1893b6)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (d2ce5823cee807aed2719261dc1893b6)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (d2ce5823cee807aed2719261dc1893b6)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (d2ce5823cee807aed2719261dc1893b6)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (d2ce5823cee807aed2719261dc1893b6)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (d2ce5823cee807aed2719261dc1893b6)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (d2ce5823cee807aed2719261dc1893b6)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span]]
2024-07-26 19:07:983 INFO  OnlineSlotsPage :19 - Get text of OnlineSlot: [[ChromeDriver: chrome on windows (d2ce5823cee807aed2719261dc1893b6)] -> xpath: //h1[normalize-space()='Play Online Slots at Virgin Games']]
